Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"71","2015-10-01","0100","16.3","15.1","0","-23","0","0.3","92","1.3","22.3","0","1.7","346","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0200","16.3","14.9","0","-23","0","0","91","0.1","22.3","0","1.7","7","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0300","16.3","15","0","-23","0","0.5","92","0.5","22.2","0","1.7","283","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0400","16","14.9","0","-23","0","1.6","93","1","22.2","0","1.7","303","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0500","15.9","14.9","0","-23","0","0.2","94","0.2","22.2","0","1.7","92","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0600","15.8","14.8","0","-23","0","0","94","0.2","22.1","0","1.7","40","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0700","16","15.1","0","-19","0","0.5","94","0.3","22.1","5","1.7","341","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0800","16.8","15.7","0.06","61","0.08","0.2","94","0.5","22","150","1.8","180","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","0900","18.8","15.8","0.12","112","0.15","0","83","0.6","22","233","1.8","236","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1000","18.9","16.1","0.04","21","0.07","0","84","1.7","22","123","1.8","215","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1100","19.1","15.9","0.02","-8","0.06","0.5","82","1.7","22","98","1.8","126","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1200","20.6","14.9","0.27","242","0.29","0","70","0.4","22","439","1.7","294","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1300","22.2","14.3","0.36","307","0.36","0","61","1.2","22.1","531","1.6","75","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1400","22","14.9","0.16","103","0.22","0.1","64","2.2","22.1","250","1.7","94","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1500","22.4","15.4","0.29","228","0.3","0.1","64","2.4","22.2","417","1.7","120","2.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1600","23.4","14.5","0.22","162","0.24","0","57","1.5","22.3","319","1.7","135","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1700","23.8","14.7","0.12","80","0.13","0","57","0.6","22.4","189","1.7","275","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1800","21.5","16.2","0.03","-12","0.02","0","72","1.1","22.5","34","1.8","272","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","1900","18.7","15.9","0","-32","0","0","84","1.2","22.5","0","1.8","300","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","2000","17.3","15.5","0","-32","0","0","89","1.6","22.5","0","1.8","284","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","2100","16.7","15","0","-32","0","0","90","1.6","22.5","0","1.7","321","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","2200","16.5","14.3","0","-33","0","0","87","1.9","22.4","0","1.6","312","1.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","2300","15.6","13.5","0","-33","0","0","87","1.8","22.4","0","1.5","322","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-01","2400","15.5","13.3","0","-33","0","0","87","2.2","22.3","0","1.5","318","2.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0100","14.5","12.6","0","-29","0","0","88","1.1","22.3","0","1.5","337","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0200","14.2","12.7","0","-29","0","0","91","1.1","22.2","0","1.5","29","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0300","13.3","12","0","-29","0","0","92","1.1","22.1","0","1.4","3","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0400","13.1","12","0","-29","0","0","93","1.4","22.1","0","1.4","330","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0500","13.1","12","0","-29","0","0","93","1.5","22","0","1.4","321","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0600","13.4","12.2","0","-29","0","0","93","1.8","21.9","0","1.4","298","1.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0700","13.9","12.6","0.01","6","0.01","0","92","1.6","21.8","55","1.5","303","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0800","16.9","14.1","0.1","83","0.11","0","84","3.4","21.8","189","1.6","322","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","0900","19.1","14","0.23","172","0.23","0","72","4.9","21.7","333","1.6","315","5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1000","21","14.1","0.35","262","0.33","0","65","4.4","21.7","468","1.6","327","4.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1100","22.5","14.1","0.45","332","0.42","0","59","4.9","21.7","569","1.6","319","5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1200","23.9","13.6","0.53","370","0.49","0","52","5.2","21.7","625","1.6","320","5.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1300","25.4","12.9","0.55","368","0.53","0","46","5","21.8","623","1.5","328","5.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1400","26.8","12.6","0.51","328","0.52","0","41","4.4","21.9","568","1.5","317","4.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1500","27.6","11.5","0.44","254","0.47","0","37","4.1","22.1","462","1.4","310","4.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1600","28","11","0.32","160","0.38","0","35","3.6","22.2","320","1.3","318","3.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1700","27.1","10.7","0.19","68","0.24","0","36","3","22.3","170","1.3","325","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1800","24.2","11.6","0.08","-15","0.07","0","45","2","22.4","32","1.4","309","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","1900","21.2","11.4","0.03","-34","0.02","0","53","1.1","22.4","0","1.3","279","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","2000","18.6","12.3","0.01","-32","0.01","0","67","1.1","22.4","0","1.4","130","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","2100","17.3","13.3","0","-31","0","0","77","0.5","22.4","0","1.5","146","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","2200","16.3","13.2","0","-31","0","0","82","0.6","22.3","0","1.5","134","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","2300","15.2","12.4","0","-31","0","0","83","1","22.3","0","1.4","107","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-02","2400","14.5","11.5","0","-31","0","0","82","0.8","22.2","0","1.4","150","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0100","13.8","11.8","0","-33","0","0","88","0.1","22.1","0","1.4","236","0.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0200","12.8","11.4","0","-32","0","0","91","0.2","22","0","1.3","266","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0300","13.3","11.8","0","-32","0","0","90","0.4","22","0","1.4","355","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0400","12.2","11.1","0","-32","0","0","93","0.7","21.9","0","1.3","16","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0500","10.8","9.8","0","-33","0","0","94","0.3","21.8","0","1.2","179","0.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0600","10.7","10","0","-32","0","0","95","0.6","21.7","0","1.2","199","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0700","11.3","10.6","0","1","0","0","95","0.7","21.6","52","1.3","112","0.8"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0800","15.1","13.5","0.09","91","0.09","0","90","1.2","21.5","205","1.6","173","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","0900","19.4","13.5","0.21","179","0.22","0","69","2.1","21.4","347","1.5","155","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1000","23.2","10.5","0.33","268","0.34","0","45","0.8","21.4","481","1.3","183","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1100","25","6.9","0.43","339","0.44","0","31","1.2","21.4","589","1","334","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1200","26.7","7.7","0.5","377","0.5","0","30","0.4","21.5","643","1.1","205","1.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1300","27.4","7.7","0.53","370","0.54","0","29","2.1","21.6","632","1.1","136","2.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1400","28.3","8.5","0.49","324","0.51","0","29","2.5","21.7","567","1.1","142","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"71","2015-10-03","1500","29.6","8.8","0.44","250","0.49","0","27","3.3","21.9","460","1.1","133","3.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
