Station,Date,Hour,HlyAirTmpValue,HlyDewPntValue,HlyEtoValue,HlyNetRadValue,HlyAsceEtoValue,HlyPrecipValue,HlyRelHumValue,HlyResWindValue,HlySoilTmpValue,HlySolRadValue,HlyVapPresValue,HlyWindDirValue,HlyWindSpdValue,HlyAirTmpQc,HlyDewPntQc,HlyEtoQc,HlyNetRadQc,HlyAsceEtoQc,HlyPrecipQc,HlyRelHumQc,HlyResWindQc,HlySoilTmpQc,HlySolRadQc,HlyVapPresQc,HlyWindDirQc,HlyWindSpdQc
"167","2015-10-01","0100","16.9","14.4","0","-19","0","0.7","85","0.5","21.4","0","1.6","252","1.4"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0200","16.3","15","0","-19","0","2.1","92","0.3","21.3","0","1.7","150","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0300","16.1","14.9","0","-19","0","1.4","93","1.8","21.3","0","1.7","273","2.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0400","15.9","14.6","0","-19","0","0.5","92","0.6","21.2","0","1.7","207","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0500","15.8","14.6","0","-19","0","0.1","93","0.6","21.1","0","1.7","291","1.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0600","16","14.8","0","-19","0","0.1","92","0.3","21","0","1.7","148","1.1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0700","16","15.1","0.01","4","0","0","94","0.7","20.9","30","1.7","141","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0800","16.7","15.7","0.04","39","0.06","0.1","94","0.4","20.8","104","1.8","80","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","0900","17.7","15.9","0.06","53","0.09","0","89","0.7","20.8","147","1.8","117","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1000","19","16.4","0.06","52","0.12","0","85","1","21","165","1.9","105","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1100","19.6","16.2","0.07","56","0.14","0","81","1.5","21.2","184","1.8","74","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1200","21.2","15.7","0.21","187","0.26","0","71","0.4","21.4","378","1.8","95","0.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1300","22.8","15","0.29","243","0.32","0","62","1","21.7","441","1.7","69","1.5"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1400","23.5","15","0.24","172","0.29","0","59","2.5","22.3","349","1.7","87","2.7"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1500","23.4","15.6","0.33","245","0.33","0","62","3","22.7","443","1.8","106","3.2"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1600","23.4","15.4","0.24","172","0.26","0","61","2.7","22.9","335","1.8","126","2.9"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1700","22.3","15.4","0.08","48","0.11","0","65","0.9","23.1","115","1.7","327","1.6"," "," "," "," "," "," "," "," "," "," "," "," "," "
"167","2015-10-01","1800","21.2","16.5","0.03","5","0.02","0","75","1.2","23.2","42","1.9","271","1.3"," "," "," "," "," "," "," "," "," "," "," "," "," "
